canonical_item_id,source,object_type,object_subtype,type_name,market_hash_name,item_name,weapon_type,weapon_family,weapon_name,skin_name,wear,rarity,collection,is_stattrak,is_souvenir,listing_id,asset_id,sample_price,sample_currency,raw_type
container__shanghai_2024_nuke_souvenir_package,csgo_api_reference,container,Souvenir,Souvenir,Shanghai 2024 Nuke Souvenir Package,Shanghai 2024 Nuke Souvenir Package,,,,,,Base Grade,,False,False,crate-4972,4972,,,Souvenir
container__shanghai_2024_vertigo_souvenir_package,csgo_api_reference,container,Souvenir,Souvenir,Shanghai 2024 Vertigo Souvenir Package,Shanghai 2024 Vertigo Souvenir Package,,,,,,Base Grade,,False,False,crate-4973,4973,,,Souvenir
container__shattered_web_case,csgo_api_reference,container,Case,Case,Shattered Web Case,Shattered Web Case,,,,,,Base Grade,,False,False,crate-4620,4620,,,Case
container__shattered_web_sticker_collection,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,Shattered Web Sticker Collection,Shattered Web Sticker Collection,,,,,,Base Grade,,False,False,crate-4600,4600,,,Sticker Capsule
container__skill_groups_capsule,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,Skill Groups Capsule,Skill Groups Capsule,,,,,,Base Grade,,False,False,crate-4547,4547,,,Sticker Capsule
container__slid3_capsule,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,Slid3 Capsule,Slid3 Capsule,,,,,,Base Grade,,False,False,crate-4184,4184,,,Sticker Capsule
container__snakebite_case,csgo_api_reference,container,Case,Case,Snakebite Case,Snakebite Case,,,,,,Base Grade,,False,False,crate-4747,4747,,,Case
container__spectrum_2_case,csgo_api_reference,container,Case,Case,Spectrum 2 Case,Spectrum 2 Case,,,,,,Base Grade,,False,False,crate-4403,4403,,,Case
container__spectrum_case,csgo_api_reference,container,Case,Case,Spectrum Case,Spectrum Case,,,,,,Base Grade,,False,False,crate-4351,4351,,,Case
container__stattrak_deluge_music_kit_box,csgo_api_reference,container,Music Kit Box,Music Kit Box,StatTrak™ Deluge Music Kit Box,StatTrak™ Deluge Music Kit Box,,,,,,Base Grade,,False,False,crate-7021,7021,,,Music Kit Box
container__stattrak_initiators_music_kit_box,csgo_api_reference,container,Music Kit Box,Music Kit Box,StatTrak™ Initiators Music Kit Box,StatTrak™ Initiators Music Kit Box,,,,,,Base Grade,,False,False,crate-4849,4849,,,Music Kit Box
container__stattrak_masterminds_2_music_kit_box,csgo_api_reference,container,Music Kit Box,Music Kit Box,StatTrak™ Masterminds 2 Music Kit Box,StatTrak™ Masterminds 2 Music Kit Box,,,,,,Base Grade,,False,False,crate-4947,4947,,,Music Kit Box
container__stattrak_masterminds_music_kit_box,csgo_api_reference,container,Music Kit Box,Music Kit Box,StatTrak™ Masterminds Music Kit Box,StatTrak™ Masterminds Music Kit Box,,,,,,Base Grade,,False,False,crate-4697,4697,,,Music Kit Box
container__stattrak_nightmode_music_kit_box,csgo_api_reference,container,Music Kit Box,Music Kit Box,StatTrak™ NIGHTMODE Music Kit Box,StatTrak™ NIGHTMODE Music Kit Box,,,,,,Base Grade,,False,False,crate-4915,4915,,,Music Kit Box
container__stattrak_radicals_box,csgo_api_reference,container,Music Kit Box,Music Kit Box,StatTrak™ Radicals Box,StatTrak™ Radicals Box,,,,,,Base Grade,,False,False,crate-4287,4287,,,Music Kit Box
container__stattrak_tacticians_music_kit_box,csgo_api_reference,container,Music Kit Box,Music Kit Box,StatTrak™ Tacticians Music Kit Box,StatTrak™ Tacticians Music Kit Box,,,,,,Base Grade,,False,False,crate-4755,4755,,,Music Kit Box
container__sticker_capsule,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,Sticker Capsule,Sticker Capsule,,,,,,Base Grade,,False,False,crate-4007,4007,,,Sticker Capsule
container__sticker_capsule_2,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,Sticker Capsule 2,Sticker Capsule 2,,,,,,Base Grade,,False,False,crate-4012,4012,,,Sticker Capsule
container__stockholm_2021_ancient_souvenir_package,csgo_api_reference,container,Souvenir,Souvenir,Stockholm 2021 Ancient Souvenir Package,Stockholm 2021 Ancient Souvenir Package,,,,,,Base Grade,,False,False,crate-4813,4813,,,Souvenir
container__stockholm_2021_challengers_patch_pack,csgo_api_reference,container,Patch Capsule,Patch Capsule,Stockholm 2021 Challengers Patch Pack,Stockholm 2021 Challengers Patch Pack,,,,,,Base Grade,,False,False,crate-4807,4807,,,Patch Capsule
container__stockholm_2021_challengers_sticker_capsule,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,Stockholm 2021 Challengers Sticker Capsule,Stockholm 2021 Challengers Sticker Capsule,,,,,,Base Grade,,False,False,crate-4804,4804,,,Sticker Capsule
container__stockholm_2021_champions_autograph_capsule,csgo_api_reference,container,Autograph Capsule,Autograph Capsule,Stockholm 2021 Champions Autograph Capsule,Stockholm 2021 Champions Autograph Capsule,,,,,,Base Grade,,False,False,crate-4816,4816,,,Autograph Capsule
container__stockholm_2021_contenders_patch_pack,csgo_api_reference,container,Patch Capsule,Patch Capsule,Stockholm 2021 Contenders Patch Pack,Stockholm 2021 Contenders Patch Pack,,,,,,Base Grade,,False,False,crate-4808,4808,,,Patch Capsule
container__stockholm_2021_contenders_sticker_capsule,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,Stockholm 2021 Contenders Sticker Capsule,Stockholm 2021 Contenders Sticker Capsule,,,,,,Base Grade,,False,False,crate-4805,4805,,,Sticker Capsule
